"Date Printed: Friday, April 24, 2026 6:16:09 PM"
Title: "Chlamydia | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Female | All age groups""
Footnote(s): 
   NA - Not Applicable.



Indicator,Year,Geography,FIPS,Cases,Rate per 100000
"Chlamydia","2008","Alabama","01","18,744","778.2"
"Chlamydia","2009","Alabama","01","19,413","800.8"
"Chlamydia","2010","Alabama","01","20,030","813.4"
"Chlamydia","2011","Alabama","01","21,217","858.7"
"Chlamydia","2012","Alabama","01","22,099","891.1"
"Chlamydia","2013","Alabama","01","21,096","848.0"
"Chlamydia","2014","Alabama","01","20,619","826.5"
"Chlamydia","2015","Alabama","01","18,674","746.7"
"Chlamydia","2016","Alabama","01","19,131","762.8"
"Chlamydia","2017","Alabama","01","20,993","834.4"
"Chlamydia","2018","Alabama","01","19,537","773.9"
"Chlamydia","2008","Alaska","02","3,253","995.0"
"Chlamydia","2009","Alaska","02","3,364","1006.8"
"Chlamydia","2010","Alaska","02","3,960","1156.8"
"Chlamydia","2011","Alaska","02","3,801","1097.5"
"Chlamydia","2012","Alaska","02","3,670","1049.7"
"Chlamydia","2013","Alaska","02","3,899","1109.4"
"Chlamydia","2014","Alaska","02","3,940","1123.4"
"Chlamydia","2015","Alaska","02","3,786","1077.8"
"Chlamydia","2016","Alaska","02","3,807","1077.2"
"Chlamydia","2017","Alaska","02","3,941","1115.1"
"Chlamydia","2018","Alaska","02","3,965","1127.4"
"Chlamydia","2008","Arizona","04","18,358","567.5"
"Chlamydia","2009","Arizona","04","19,097","582.6"
"Chlamydia","2010","Arizona","04","19,529","605.9"
"Chlamydia","2011","Arizona","04","21,196","651.2"
"Chlamydia","2012","Arizona","04","22,087","670.1"
"Chlamydia","2013","Arizona","04","21,950","657.9"
"Chlamydia","2014","Arizona","04","22,747","672.1"
"Chlamydia","2015","Arizona","04","22,299","649.4"
"Chlamydia","2016","Arizona","04","23,693","678.7"
"Chlamydia","2017","Arizona","04","26,453","746.6"
"Chlamydia","2018","Arizona","04","26,717","742.0"
"Chlamydia","2008","Arkansas","05","10,643","728.4"
"Chlamydia","2009","Arkansas","05","10,689","726.7"
"Chlamydia","2010","Arkansas","05","11,303","760.0"
"Chlamydia","2011","Arkansas","05","11,921","796.6"
"Chlamydia","2012","Arkansas","05","12,247","815.4"
"Chlamydia","2013","Arkansas","05","11,334","752.6"
"Chlamydia","2014","Arkansas","05","11,625","769.8"
"Chlamydia","2015","Arkansas","05","12,088","797.9"
"Chlamydia","2016","Arkansas","05","12,216","803.2"
"Chlamydia","2017","Arkansas","05","12,453","815.7"
"Chlamydia","2018","Arkansas","05","12,513","817.0"
"Chlamydia","2008","California","06","104,201","571.1"
"Chlamydia","2009","California","06","101,716","552.4"
"Chlamydia","2010","California","06","102,645","546.8"
"Chlamydia","2011","California","06","114,657","605.3"
"Chlamydia","2012","California","06","114,396","598.9"
"Chlamydia","2013","California","06","112,460","583.9"
"Chlamydia","2014","California","06","115,339","593.7"
"Chlamydia","2015","California","06","121,387","619.8"
"Chlamydia","2016","California","06","123,906","628.8"
"Chlamydia","2017","California","06","135,040","682.2"
"Chlamydia","2018","California","06","142,006","715.6"
"Chlamydia","2008","Colorado","08","13,825","565.4"
"Chlamydia","2009","Colorado","08","14,765","593.6"
"Chlamydia","2010","Colorado","08","14,188","563.5"
"Chlamydia","2011","Colorado","08","15,751","616.6"
"Chlamydia","2012","Colorado","08","15,476","597.7"
"Chlamydia","2013","Colorado","08","14,336","545.9"
"Chlamydia","2014","Colorado","08","14,906","559.5"
"Chlamydia","2015","Colorado","08","16,151","595.8"
"Chlamydia","2016","Colorado","08","16,945","615.6"
"Chlamydia","2017","Colorado","08","17,251","619.1"
"Chlamydia","2018","Colorado","08","18,474","653.8"
"Chlamydia","2008","Connecticut","09","9,239","516.0"
"Chlamydia","2009","Connecticut","09","8,937","497.7"
